wall_id,source_wall_id,piso,segmento,z_min_m,z_max_m,identificacion_plano,confianza,length_m,thickness_m,vertical_diameter_mm,vertical_spacing_mm,horizontal_diameter_mm,horizontal_spacing_mm,boundary_bars_each_end,boundary_diameter_mm,boundary_bars_left,boundary_diameter_left_mm,boundary_bars_right,boundary_diameter_right_mm,As_m2,punto,ramal,P_kN,M_kNm,c_m
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,+principal,43909.51456717731,0.0,
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,A,-principal,43909.51456717731,-0.0,
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,+principal,43428.49042817797,13628.273529630078,2.915
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,B,-principal,43428.49042817797,-13628.273529630078,2.915
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,+principal,24810.77165719197,21968.084011329513,1.719
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,C,-principal,24810.77165719197,-21968.084011329513,1.719
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,+principal,20431.2304288365,21261.78872868957,1.4325
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,D,-principal,20431.2304288365,-21261.78872868957,1.4325
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,+principal,14953.800201852759,18929.38317192341,1.074375
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,E,-principal,14953.800201852759,-18929.38317192341,1.074375
101,1,1,1,0.0,3.96,M-LT2-1-A'-retorno,alta,2.915,0.6,12,200,12,200,3,28,3,28,3,28,0.007313627697557039,F,+principal,0.0,4335.026877898143,0.10585508136256533
