bloque,z_m,ux_master_m,uy_master_m,master_x_m,master_y_m,ux_CM_m,uy_CM_m,giro_z_rad
LT1,3.96,2.2585077368924284e-13,2.415549265687894e-13,0.0,0.0,2.40670888490285e-13,2.2440612873085766e-13,-1.7898220046461627e-15
LT2,3.96,-1.780686465515167e-06,7.258602720281109e-06,-31.679999999999996,0.0,-1.780668700147841e-06,7.258572602220784e-06,-2.1452928518047805e-12
LT1,7.92,-2.9675725704540342e-06,5.786921176964472e-06,0.0,0.0,-2.9664931914034777e-06,5.783979269957493e-06,-1.3696337751036011e-10
LT2,7.92,2.26849903613141e-06,1.9617753398647124e-05,-32.05,0.07599999999999985,2.268515397171384e-06,1.9617725234469716e-05,-1.989570539058245e-12
LT1,11.88,1.3282881903706054e-05,1.8467316118432054e-05,0.0,0.0,1.1990134454760365e-05,2.208157085320989e-05,1.7308700120275719e-07
LT2,11.88,1.6139023031492674e-05,3.668137831552979e-05,-32.05,0.6589999999999998,1.6139042367335672e-05,3.668134249293661e-05,-2.5305208002353548e-12
LT1,15.84,5.2799323485519906e-05,5.761275710906655e-05,0.0,0.0,5.2799119864135036e-05,5.761340022162456e-05,2.7010013087046455e-11
LT2,15.84,5.2799374875524415e-05,5.7612570563364015e-05,-32.05,1.2419999999999998,5.279933303015399e-05,5.761265518775371e-05,5.902687260353831e-12
LT1,19.8,0.00013211895305017873,0.0001161318848043775,0.0,0.0,0.00013213331597624714,0.00011608118890713055,-2.043314184610582e-09
LT2,19.8,0.00011372520631997761,6.374486691138394e-05,-32.05,1.825,0.00011372519736201508,6.374488614085636e-05,1.3916237265453689e-12
